recorder_time	SPEED	TORQUE_20HZ	UI_VALUE_SET_CURRENT	Ierms	Irms_1	Irms_2	Irms_3	Urms_12	Urms_31	Urms_23	Pfact_D	Pin	PM	UI_VALUE_DCURRENT	UI_VALUE_QCURRENT	UI_VALUE_DVOLTAGE	UI_VALUE_QVOLTAGE	UI_VALUE_ANG_LOAD	UI_LINK_VOLTAGE	UI_VALUE_SET_ANGLE	UI_MAX_MOTOR_VOLTAGE	Ubat_m	Ibat_m	PFact_1	PFact_2	PFact_3	Pow1	Pow2	Pow3	Phi_ui1	Phi_ui2	Phi_ui3	Ufrms_1	Ufrms_2	Ufrms_3	UI_IGBT_Temp	Real_Time	UI_VALUE_SPEED	UI_VALUE_PLS_FRQ	
ms	rpm	Nm	A	A	A	A	A	V	V	V	-	kW	kW	A	A	V	V	?V	?V	V	-	-	-	-	kW	kW	kW	-	-	-	V	V	V	蚓	-	rpm	Hz	
108	-1000	0.42720	0.00	0.42	0.38	0.37	0.49	35.90	35.93	36.00	-0.2496	-0.0065	-0.0473	0.07	-0.11	0.01	37.07	-0.05	369.88	125.00	350.00	370.21	0.17	0.3880	-0.0768	0.3982	0.00	-0.00	0.00	34.15	-15.98	-48.83	20.71	20.76	20.77	29.91	135550	998.29	6000.00	
208	-1000	0.42583	0.00	0.43	0.35	0.42	0.51	35.92	35.94	36.01	-0.2577	-0.0070	-0.0450	0.01	-0.03	0.01	37.06	-0.95	369.82	125.00	350.00	370.30	0.57	0.2655	0.0529	0.4244	0.00	0.00	0.00	70.69	-61.84	-21.89	20.72	20.77	20.78	29.66	135550	998.60	6000.00	
308	-1000	0.43109	0.00	0.41	0.38	0.38	0.47	35.93	35.93	35.98	-0.2355	-0.0062	-0.0455	0.01	-0.01	0.01	37.04	-0.35	369.52	125.00	350.00	370.27	0.62	0.2550	0.1230	0.3133	0.00	0.00	0.00	-2.95	-6.51	-39.25	20.73	20.76	20.76	29.41	135550	998.58	6000.00	
408	-1000	0.44031	0.00	0.39	0.36	0.37	0.44	35.93	35.91	35.99	-0.2482	-0.0060	-0.0455	0.07	-0.01	-0.00	37.07	-0.08	369.79	125.00	350.00	370.19	0.64	0.1202	0.1588	0.4305	0.00	0.00	0.00	-70.68	-83.56	-26.22	20.72	20.77	20.76	29.25	135550	998.59	6000.00	
508	-1000	0.43447	0.00	0.37	0.36	0.37	0.39	35.93	35.93	35.99	-0.2137	-0.0050	-0.0479	0.03	0.03	0.01	37.04	-0.99	369.76	125.00	350.00	370.18	0.81	0.1290	0.1465	0.3560	0.00	0.00	0.00	-59.91	-85.95	-22.96	20.73	20.77	20.76	29.34	135550	998.70	6000.00	
608	-1000	0.43201	0.00	0.40	0.32	0.39	0.47	35.92	35.90	35.99	-0.3179	-0.0079	-0.0448	-0.01	-0.05	0.00	37.05	-0.15	369.42	125.00	350.00	370.18	0.55	0.2712	0.1148	0.5294	0.00	0.00	0.01	23.39	-65.97	-23.14	20.71	20.77	20.76	29.59	135550	998.37	6000.00	
708	-1000	0.40987	0.00	0.39	0.35	0.36	0.45	35.95	35.95	36.02	-0.1510	-0.0037	-0.0441	0.05	0.01	-0.00	37.07	-0.84	369.70	125.00	350.00	370.18	0.57	0.0410	-0.0129	0.3934	0.00	-0.00	0.00	81.14	-76.19	-0.97	20.74	20.78	20.78	29.55	135550	998.40	6000.00	
808	-1000	0.40898	0.00	0.42	0.35	0.40	0.49	35.93	35.91	36.01	-0.2101	-0.0055	-0.0443	0.03	-0.00	0.01	37.02	-0.91	369.74	125.00	350.00	370.30	0.53	0.1093	-0.0745	0.5219	0.00	-0.00	0.01	94.41	-100.60	-17.55	20.72	20.78	20.77	29.66	135550	998.60	6000.00	
908	-1000	0.45577	0.00	0.43	0.37	0.42	0.49	35.92	35.93	36.01	-0.2928	-0.0080	-0.0473	-0.03	-0.08	0.01	37.03	-0.66	369.63	125.00	350.00	370.26	0.34	0.2684	0.1132	0.4675	0.00	0.00	0.00	29.69	-85.13	-9.60	20.72	20.77	20.78	29.41	135551	998.57	6000.00	
1008	-1000	0.46154	0.00	0.41	0.34	0.40	0.48	35.93	35.91	36.00	-0.3292	-0.0084	-0.0481	0.09	-0.03	-0.00	37.02	-1.01	369.53	125.00	350.00	370.23	0.49	0.2951	0.0800	0.5656	0.00	0.00	0.01	27.16	-89.95	-20.50	20.72	20.78	20.76	29.25	135551	998.30	6000.00	
1108	-1000	0.44944	0.00	0.43	0.38	0.40	0.50	35.93	35.94	36.01	-0.2784	-0.0074	-0.0471	0.02	-0.01	0.01	37.03	-0.15	369.63	125.00	350.00	370.12	0.35	0.3072	0.1193	0.3915	0.00	0.00	0.00	39.44	-46.50	-35.12	20.73	20.77	20.78	29.34	135551	998.34	6000.00	
